case_name,mean_error_mm,max_error_mm,mean_residual,max_residual,mean_iterations,max_iterations,max_force_N,max_drive_disp_mm,exit_failures
nominal-downsampled,0.0361180573396159,0.0859579539944667,3.39010222453902e-09,9.93858826684916e-09,2.2625,3,159.971097395531,2.87885559289176,0
stiffness-5%,0.0343242203550459,0.0816937583969614,3.37226836911828e-09,9.84590606749185e-09,2.25,3,152.042156581905,2.8790763306771,0
stiffness+5%,0.0379106364216566,0.0902186360900867,3.0154503898576e-09,9.96390302886097e-09,2.3125,3,167.892787253779,2.87863487922493,0
routing-radius-5%,0.70212414329312,1.02522585458924,1.6420582518172e-09,9.92034208312154e-09,2.6125,3,177.078176625475,2.87837873497615,0
routing-radius+5%,0.658918835749277,1.00975573479068,2.02149933805695e-09,9.69466760490291e-09,2.05,3,145.222166578918,2.879266054243,0
command-loss-5%,0.69241238505892,1.06238701042404,2.34232458637196e-09,9.60308602826051e-09,2.025,3,151.926481967768,2.73491447649918,0
command-loss-10%,1.36900738932446,2.07944718919015,2.61962608848564e-10,1.03270749640685e-09,1.9625,3,143.889003756822,2.5909731075547,0
