source,source_rank,case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,coarse_replay_max_error_mm,coarse_max_force_N,coarse_max_drive_disp_mm,coarse_max_jl_condition,coarse_constraint_failures,coarse_ik_failures,coarse_objective_score,resampling_factor,n_samples,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_step_disp_mm,max_step_force_N,step_disp_limit_mm,step_force_limit_N,constraint_failures,replay_exit_failures,execution_feasible,execution_score,failure_message
local_refined,1,1001,2.8,50,0.75:1.00:1.25,0.75,1,1.25,0.150154987166334,161.047868393147,2.44777373340277,3.8021876046927,2,51,165.353086653148,5,266,0.0632664151038035,0.165067765955036,160.930281008817,2.445366736553,0.141644270433464,15.2971092933496,0.18,18,0,0,1,2.82054311674823,
local_refined,2,1002,2.8,50,0.80:1.00:1.20,0.8,1,1.2,0.150983389283797,169.176349241684,2.41113444095603,3.78166523582299,2,51,165.389985580559,5,266,0.0634860559591769,0.164218762310739,169.050175087393,2.40878272216184,0.138436195406086,15.7807621356254,0.18,18,0,0,1,2.85296320858751,
local_refined,3,1003,2.8,50,0.85:1.00:1.15,0.85,1,1.15,0.15221812126125,176.343691999356,2.36810389666235,3.79700613549773,2,51,165.422055164013,5,266,0.063887303346361,0.163645823304525,176.208812078874,2.36582005316405,0.134764314216995,16.204221283872,0.18,18,0,0,1,2.87855585308501,
local_refined,4,1004,2.8,60,0.75:1.00:1.25,0.75,1,1.25,0.150154987058209,157.538824911652,2.4477737334056,3.8021876046927,2,51,165.333591966708,5,266,0.063266384348921,0.165067741375056,157.396320918254,2.44536673655593,0.141644270433658,14.0697440839249,0.18,18,0,0,1,2.78386316779544,
local_refined,5,1005,2.8,60,0.80:1.00:1.20,0.8,1,1.2,0.150983389224399,165.005132947524,2.41113444096495,3.78166523582299,2,51,165.366812156468,5,266,0.0634860255336806,0.164218733863063,164.849635084563,2.40878272217092,0.138436195406502,14.534837904423,0.18,18,0,0,1,2.81232225823993,
local_refined,6,1006,2.8,60,0.85:1.00:1.15,0.85,1,1.15,0.152218121241782,171.678814284454,2.36810389668463,3.79700613549773,2,51,165.396139176637,5,266,0.0638872717674274,0.163645787043606,171.510345872358,2.36582005318653,0.134764314217883,14.9459536894631,0.18,18,0,0,1,2.83497717920195,
local_refined,7,1007,2.8,70,0.75:1.00:1.25,0.75,1,1.25,0.150154988204277,169.515621386396,2.44777373341193,3.80218760469271,2,51,165.400129729487,5,266,0.0632663706474811,0.165067736029685,169.37723137582,2.4453667365623,0.141644270433894,15.6257682958211,0.18,18,0,0,1,2.8720352074568,
local_refined,8,1008,2.8,70,0.80:1.00:1.20,0.8,1,1.2,0.150983390320737,177.813220635925,2.41113444098284,3.78166523582299,2,51,165.437968203572,5,266,0.063486011628807,0.164218724694263,177.663351159554,2.40878272218889,0.138436195407113,16.1305816001045,0.18,18,0,0,1,2.90567263998322,
local_refined,9,1009,2.8,70,0.85:1.00:1.15,0.85,1,1.15,0.152218122279232,185.177544808734,2.36810389672576,3.79700613549773,3,51,170.471132128157,32,1697,0.0640476102961395,0.169042854110022,185.145842172343,2.36807384235144,0.0210569436355779,2.59027732354977,0.18,18,1,0,0,112.603467651324,
local_refined,10,1010,3,50,0.75:1.00:1.25,0.75,1,1.25,0.149575620965198,150.623901285452,2.62343434188245,3.8021876046927,2,51,165.346088747386,5,266,0.058985910754754,0.158911863983017,150.51385862247,2.62085412323645,0.151815018843635,14.3053906623003,0.18,18,0,0,1,2.79158066115024,
local_refined,11,1011,3,50,0.80:1.00:1.20,0.8,1,1.2,0.150431517876497,158.222789440041,2.58416159676783,3.78166523582299,2,51,165.379357456379,5,266,0.0592266550493724,0.158096347394412,158.104683093088,2.58164063566244,0.148376178069495,14.7571603501262,0.18,18,0,0,1,2.81963528598591,
