case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,plan_mean_error_mm,plan_max_error_mm,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_jl_condition,mean_jl_condition,max_iterations,mean_iterations,constraint_utilization,constraint_failures,ik_failures,replay_exit_failures,feasible,objective_score,failure_message
15,3,60,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0544884269316778,0.150431517825469,154.331272924219,2.58416159677688,3.78166523582299,3.78166523582299,3,2.42592592592593,4.07758420634188,2,51,0,0,165.357737919979,
6,3,30,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0544883837698477,0.150431520744066,154.332223115436,2.58416159678329,3.78166523582299,3.78166523582299,3,2.42592592592593,4.07758420633379,2,51,0,0,165.357743210495,
30,3.5,60,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0470105484837158,0.149588619803237,132.81450172703,3.01653770041863,3.78166523582299,3.78166523582299,3,2.44444444444444,4.76015618583906,2,51,0,0,165.365851771837,
21,3.5,30,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0470104960040434,0.149588622668669,132.815818541313,3.01653770042518,3.78166523582299,3.78166523582299,3,2.44444444444444,4.76015618583081,2,51,0,0,165.365859098936,
3,3,20,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0544883091424549,0.150431520158306,158.220709061921,2.58416159680394,3.78166523582299,3.78166523582299,3,2.42592592592593,4.07758420636702,2,51,0,0,165.379345907861,
12,3,50,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0544884609442149,0.150431517876497,158.222789440041,2.58416159676783,3.78166523582299,3.78166523582299,3,2.42592592592593,4.07758420631929,2,51,0,0,165.379357456379,
18,3.5,20,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0470104088855597,0.149588622112152,136.145748738603,3.01653770044621,3.78166523582299,3.78166523582299,3,2.44444444444444,4.76015618586442,2,51,0,0,165.384358708923,
27,3.5,50,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0470105885505085,0.149588619835174,136.148634896582,3.01653770040935,3.78166523582299,3.78166523582299,3,2.44444444444444,4.760156185816,2,51,0,0,165.384374734015,
24,3.5,40,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0470105768683917,0.149588621298316,143.113545093373,3.01653770041174,3.78166523582299,3.78166523582299,3,2.44444444444444,4.760156185813,2,51,0,0,165.423068685406,
9,3,40,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0544884518362796,0.150431519368507,166.307443914548,2.58416159677012,3.78166523582299,3.78166523582299,3,2.42592592592593,4.1452712384755,2,51,0,0,165.424272209428,
