constraint_name,relation,value,limit,utilization,pass
drive displacement,<=,0.00288580125998203,0.0033,0.874485230297585,1
drive force,<=,160.86236749159,180,0.893679819397725,1
step displacement,<=,8.34043463162765e-05,0.00018,0.463357479534869,1
step force,<=,7.26792450851665,18,0.403773583806481,1
drive length,>=,0.0286321131543286,1e-06,3.49258189435739e-05,1
face-to-face scale,>=,0.930036018254983,0.2,0.215045434880316,1
