source,source_rank,case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,coarse_replay_max_error_mm,coarse_max_force_N,coarse_max_drive_disp_mm,coarse_max_jl_condition,coarse_constraint_failures,coarse_ik_failures,coarse_objective_score,resampling_factor,n_samples,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_step_disp_mm,max_step_force_N,step_disp_limit_mm,step_force_limit_N,constraint_failures,replay_exit_failures,execution_feasible,execution_score,failure_message
coarse_top,1,15,3,60,0.8:1:1.2,0.8,1,1.2,0.150431517825469,154.331272924219,2.58416159677688,3.78166523582299,2,51,165.357737919979,5,266,0.0592266222259672,0.158096316594563,154.185761758685,2.58164063567161,0.148376178069926,13.5926292930827,0.18,18,0,0,1,2.78168933513983,
coarse_top,2,6,3,30,0.8:1:1.2,0.8,1,1.2,0.150431520744066,154.332223115436,2.58416159678329,3.78166523582299,2,51,165.357743210495,5,266,0.0592265868676517,0.158096350219103,154.186688517771,2.58164063567756,0.148376178069606,13.5926690745941,0.18,18,0,0,1,2.78169517082193,
coarse_top,3,30,3.5,60,0.8:1:1.2,0.8,1,1.2,0.149588619803237,132.81450172703,3.01653770041863,3.78166523582299,2,51,165.365851771837,6,319,0.0518861632768027,0.151065416302708,132.73391152531,3.01649896655722,0.144344756620896,9.74413375887107,0.18,18,0,0,1,2.70711351669392,
coarse_top,4,21,3.5,30,0.8:1:1.2,0.8,1,1.2,0.149588622668669,132.815818541313,3.01653770042518,3.78166523582299,2,51,165.365859098936,6,319,0.0518861217818852,0.151065465591041,132.735207510504,3.01649896656372,0.144344756620618,9.74418138577349,0.18,18,0,0,1,2.70712157525133,
coarse_top,5,3,3,20,0.8:1:1.2,0.8,1,1.2,0.150431520158306,158.220709061921,2.58416159680394,3.78166523582299,2,51,165.379345907861,5,266,0.0592265183740157,0.158096313826152,158.102587116363,2.58164063569813,0.148376178070064,14.7571851937117,0.18,18,0,0,1,2.81962385245914,
coarse_top,6,12,3,50,0.8:1:1.2,0.8,1,1.2,0.150431517876497,158.222789440041,2.58416159676783,3.78166523582299,2,51,165.379357456379,5,266,0.0592266550493724,0.158096347394412,158.104683093088,2.58164063566244,0.148376178069495,14.7571603501262,0.18,18,0,0,1,2.81963528598591,
coarse_top,7,18,3.5,20,0.8:1:1.2,0.8,1,1.2,0.149588622112152,136.145748738603,3.01653770044621,3.78166523582299,2,51,165.384358708923,6,319,0.0518860425883912,0.151065413379296,136.080287298918,3.01649896658478,0.144344756621104,10.5780705147718,0.18,18,0,0,1,2.73728693647202,
coarse_top,8,27,3.5,50,0.8:1:1.2,0.8,1,1.2,0.149588619835174,136.148634896582,3.01653770040935,3.78166523582299,2,51,165.384374734015,6,319,0.0518862019377125,0.151065462035054,136.083187312647,3.01649896654796,0.144344756620507,10.5780412456014,0.18,18,0,0,1,2.73730283575419,
coarse_top,9,24,3.5,40,0.8:1:1.2,0.8,1,1.2,0.149588621298316,143.113545093373,3.01653770041174,3.78166523582299,2,51,165.423068685406,6,319,0.0518861937432768,0.151065488383037,143.035829110724,3.01649896655033,0.144344756620424,10.8132290717738,0.18,18,0,0,1,2.77919522649956,
coarse_top,10,9,3,40,0.8:1:1.2,0.8,1,1.2,0.150431519368507,166.307443914548,2.58416159677012,3.78166523582299,2,51,165.424272209428,5,266,0.0592266483383991,0.158096365647877,166.167163707764,2.58164063566457,0.14837617806937,15.0846293234391,0.18,18,0,0,1,2.86897509815557,
coarse_top,11,28,3.5,60,1:1:1,1,1,1,0.156733855182665,154.187931827809,2.74829806092114,4.04891733952231,2,51,165.437820418323,5,266,0.0541269456637263,0.146908689902621,154.015919212824,2.745795448931,0.149714275582441,13.1902019003816,0.18,18,0,0,1,2.78793950677514,
coarse_top,12,19,3.5,30,1:1:1,1,1,1,0.156733857399671,154.19835254743,2.74829806079355,4.04891733952231,2,51,165.437878320039,5,266,0.0541270427618818,0.14690904061884,154.026227540557,2.74579544880155,0.149714275575571,13.1915240335345,0.18,18,0,0,1,2.78801654103911,
coarse_top,13,43,4,60,1:1:1,1,1,1,0.156398732230917,135.332565726176,3.14197222367865,4.04891733952231,2,51,165.451023093454,6,319,0.0497000879950247,0.143571303293337,135.235169702513,3.14193456951464,0.142637309232613,9.65255518019237,0.18,18,0,0,1,2.73133151865595,
coarse_top,14,34,4,30,1:1:1,1,1,1,0.156398734461094,135.346352254512,3.14197222354849,4.04891733952231,2,51,165.451099694159,6,319,0.0497002068321647,0.143571799684669,135.248860680032,3.14193456938444,0.142637309226298,9.65404594037433,0.18,18,0,0,1,2.73143027016179,
coarse_top,15,25,3.5,50,1:1:1,1,1,1,0.156733855111272,156.954099093221,2.74829806073344,4.0489173395223,2,51,165.453188013899,5,266,0.0541270238256313,0.146908825684324,156.819984168888,2.74579544874357,0.149714275576529,14.4182579113472,0.18,18,0,0,1,2.82057452196737,
