source,source_rank,case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,coarse_replay_max_error_mm,coarse_max_force_N,coarse_max_drive_disp_mm,coarse_max_jl_condition,coarse_constraint_failures,coarse_ik_failures,coarse_objective_score,resampling_factor,n_samples,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_step_disp_mm,max_step_force_N,step_disp_limit_mm,step_force_limit_N,constraint_failures,replay_exit_failures,execution_feasible,execution_score,failure_message
local_refined,31,1031,3.4,60,0.75:1.00:1.25,0.75,1,1.25,0.148823165659548,130.452370901091,2.97461756454084,3.80218760469271,2,51,165.337434026853,6,319,0.0528090778239771,0.153643551834841,130.376448543398,2.97457905860721,0.143456215408663,9.70476659380159,0.18,18,0,0,1,2.69031528075086,
coarse_top,3,30,3.5,60,0.8:1:1.2,0.8,1,1.2,0.149588619803237,132.81450172703,3.01653770041863,3.78166523582299,2,51,165.365851771837,6,319,0.0518861632768027,0.151065416302708,132.73391152531,3.01649896655722,0.144344756620896,9.74413375887107,0.18,18,0,0,1,2.70711351669392,
coarse_top,4,21,3.5,30,0.8:1:1.2,0.8,1,1.2,0.149588622668669,132.815818541313,3.01653770042518,3.78166523582299,2,51,165.365859098936,6,319,0.0518861217818852,0.151065465591041,132.735207510504,3.01649896656372,0.144344756620618,9.74418138577349,0.18,18,0,0,1,2.70712157525133,
local_refined,32,1032,3.4,60,0.80:1.00:1.20,0.8,1,1.2,0.149714792580675,136.626781755064,2.93008057005303,3.78166523582299,2,51,165.361336666022,6,319,0.053083336871523,0.152910536508071,136.543895727231,2.93004294847556,0.140206128791995,10.0246935329923,0.18,18,0,0,1,2.70761035237951,
local_refined,28,1028,3.4,50,0.75:1.00:1.25,0.75,1,1.25,0.148823165739506,133.336080433297,2.97461756453787,3.8021876046927,2,51,165.353454635685,6,319,0.0528091154647918,0.153643589647118,133.273404270703,2.97457905860427,0.143456215408497,10.5503507268068,0.18,18,0,0,1,2.71815385455339,
coarse_top,13,43,4,60,1:1:1,1,1,1,0.156398732230917,135.332565726176,3.14197222367865,4.04891733952231,2,51,165.451023093454,6,319,0.0497000879950247,0.143571303293337,135.235169702513,3.14193456951464,0.142637309232613,9.65255518019237,0.18,18,0,0,1,2.73133151865595,
coarse_top,14,34,4,30,1:1:1,1,1,1,0.156398734461094,135.346352254512,3.14197222354849,4.04891733952231,2,51,165.451099694159,6,319,0.0497002068321647,0.143571799684669,135.248860680032,3.14193456938444,0.142637309226298,9.65404594037433,0.18,18,0,0,1,2.73143027016179,
coarse_top,7,18,3.5,20,0.8:1:1.2,0.8,1,1.2,0.149588622112152,136.145748738603,3.01653770044621,3.78166523582299,2,51,165.384358708923,6,319,0.0518860425883912,0.151065413379296,136.080287298918,3.01649896658478,0.144344756621104,10.5780705147718,0.18,18,0,0,1,2.73728693647202,
coarse_top,8,27,3.5,50,0.8:1:1.2,0.8,1,1.2,0.149588619835174,136.148634896582,3.01653770040935,3.78166523582299,2,51,165.384374734015,6,319,0.0518862019377125,0.151065462035054,136.083187312647,3.01649896654796,0.144344756620507,10.5780412456014,0.18,18,0,0,1,2.73730283575419,
local_refined,29,1029,3.4,50,0.80:1.00:1.20,0.8,1,1.2,0.149714792616289,140.059079241125,2.93008057004382,3.78166523582299,2,51,165.380404985529,6,319,0.0530833743931858,0.152910580883135,139.991773260004,2.93004294846633,0.140206128791648,10.8827728716593,0.18,18,0,0,1,2.73868317365115,
